time,scaling_num
13296620.0,1
13301500.0,-1
13443010.0,1
13468200.0,-1
13539300.0,1
13543800.0,-1
13870270.0,1
13873200.0,-1
13875290.0,1
13887000.0,-1
13887330.0,1
13888400.0,-1
13896360.0,1
13901600.0,-1
13916850.0,1
13919000.0,-1
13921720.0,1
13956600.0,-1
13964240.0,1
13979400.0,-1
13980110.0,1
13980900.0,-1
13987540.0,1
13992400.0,-1
14049940.0,1
14076000.0,-1
14140720.0,1
14154000.0,-1
14250600.0,1
14257800.0,-1
14388690.0,1
14416800.0,-1
14569660.0,1
14572400.0,-1
14654490.0,1
14676600.0,-1
14776610.0,1
14777200.0,-1
14854160.0,1
14854600.0,-1
14919550.0,1
14926200.0,-1
14987460.0,1
14988300.0,-1
14991130.0,1
14991600.0,-1
15089740.0,1
15103800.0,-1
15332170.0,1
15334400.0,-1
15343130.0,1
15345100.0,-1
15346060.0,1
15346700.0,-1
15357680.0,1
15369000.0,-1
